home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
2,0.625,-1,7,0.459,-1,17.5,16.53,3,0,1,1,0.816,2022,9,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2,0.62,1,10,0.331,1,18.5,21.67,0,1,1,0,0.706,2022,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
9,0.427,-5,10,0.328,-1,19.6,17.94,0,1,0,0,0.404,2022,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2,0.624,-2,4,0.566,4,20.4,17.37,0,0,1,1,0.457,2022,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2,0.627,-2,6,0.463,-2,20.7,19.27,0,0,1,1,0.466,2022,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,0.622,-2,6,0.467,1,20.9,17.31,0,1,1,0,0.728,2022,10,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2,0.618,1,6,0.471,2,19.4,3.8,16,1,1,0,0.662,2022,10,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2,0.613,-2,5,0.489,2,17.9,6.5,12,0,1,1,0.564,2022,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,0.424,-2,1,0.638,-2,16.6,15.62,0,0,0,1,0.399,2022,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,0.429,1,7,0.457,-1,15.8,7.74,0,0,0,1,0.309,2022,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9,0.426,-2,7,0.461,1,14.3,15.08,0,0,0,1,0.492,2022,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9,0.423,-3,4,0.563,1,15.8,18.48,0,1,0,0,0.99,2022,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,0.613,1,4,0.563,-1,11.1,18.72,0,0,1,1,0.425,2022,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,6,0,-1,17.5,21.48,0,1,0,0,1,2023,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2,0.5,-3,2,0.5,1,18.8,24.08,0,1,0,0,1,2023,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
